,open,close,high,low,volume,money
2018-01-02,13.01,13.35,13.58,12.98,213573248.0,2856543822.18
2018-01-03,13.38,12.99,13.51,12.87,303954971.0,4006220766.94
2018-01-04,12.98,12.91,13.03,12.8,190274323.0,2454543516.41
2018-01-05,12.88,12.96,13.01,12.82,124179162.0,1603289517.93
2018-01-08,12.91,12.63,12.95,12.53,221476417.0,2806099169.66
2018-01-09,12.63,12.75,12.87,12.59,137931003.0,1754315792.47
2018-01-10,12.71,13.13,13.15,12.59,246578396.0,3196055830.91
2018-01-11,13.07,13.06,13.25,12.93,148143149.0,1937494294.07
2018-01-12,13.11,13.21,13.33,13.07,138920723.0,1833435672.07
2018-01-15,13.17,13.84,13.97,13.16,320360453.0,4376707088.52
2018-01-16,13.81,13.84,14.02,13.66,250812903.0,3479177087.3
2018-01-17,13.97,13.87,14.42,13.84,272538130.0,3849312882.21
2018-01-18,14.03,14.35,14.35,13.92,220389462.0,3120455742.35
2018-01-19,14.42,14.42,14.75,14.31,263801939.0,3832857440.3
2018-01-22,14.23,14.07,14.56,14.06,212780615.0,3032799070.35
2018-01-23,14.0,14.28,14.52,13.97,245092155.0,3492462005.57
2018-01-24,14.29,14.27,14.7,14.13,265868878.0,3838734922.63
2018-01-25,14.08,13.84,14.1,13.65,243162528.0,3360822344.56
2018-01-26,13.82,13.69,13.98,13.66,208586445.0,2885104627.01
2018-01-29,13.69,13.39,13.89,13.26,214491950.0,2911452095.24
2018-01-30,13.35,13.3,13.49,13.21,112321284.0,1497708872.63
2018-01-31,13.26,13.69,13.69,13.19,179318565.0,2423104767.05
2018-02-01,13.6,13.67,13.94,13.49,205777859.0,2821583609.23
2018-02-02,13.56,13.69,13.74,13.28,120711251.0,1637619618.32
2018-02-05,13.45,14.18,14.2,13.38,239265060.0,3326355314.78
2018-02-06,13.87,13.65,13.97,13.58,265004970.0,3641294710.26
2018-02-07,13.86,12.59,13.94,12.44,343273539.0,4521586590.19
2018-02-08,12.5,12.22,12.59,12.21,219341728.0,2711464886.05
2018-02-09,11.77,11.39,11.77,11.09,289842359.0,3308553501.52
2018-02-12,11.48,11.42,11.54,11.27,126074172.0,1439644312.04
2018-02-13,11.57,11.64,11.9,11.54,133194289.0,1562420005.24
2018-02-14,11.66,11.7,11.73,11.46,88666688.0,1030474410.44
2018-02-22,11.94,12.14,12.21,11.94,130139592.0,1573562575.57
2018-02-23,12.26,12.29,12.47,12.13,104002747.0,1278185721.74
2018-02-26,12.45,12.31,12.52,12.13,107295778.0,1318960463.96
2018-02-27,12.32,11.97,12.38,11.88,131931310.0,1590018492.14
2018-02-28,11.79,11.74,11.88,11.63,124572418.0,1463313702.75
2018-03-01,11.62,11.73,11.84,11.6,91002596.0,1069354491.03
2018-03-02,11.62,11.65,11.73,11.55,68037129.0,791736473.27
2018-03-05,11.63,11.56,11.77,11.5,77379860.0,897244265.05
2018-03-06,11.65,11.79,11.8,11.47,118007695.0,1373438382.66
