,trade_date,open,high,low,close,vol
0,20200401,12.86,13.13,12.82,12.89,520836.04
1,20200331,13.05,13.09,12.78,12.8,513370.3
2,20200330,12.85,13.04,12.76,12.94,661738.79
3,20200327,13.25,13.38,13.08,13.15,653018.88
4,20200326,12.78,13.34,12.72,13.06,1075192.43
5,20200325,12.88,13.07,12.7,12.87,1136957.74
6,20200324,12.4,12.68,12.27,12.61,1180200.26
7,20200323,12.0,12.35,11.93,12.15,1071113.64
8,20200320,12.4,12.68,12.26,12.52,1578352.96
9,20200319,12.68,12.74,11.91,12.23,1891457.13
10,20200318,13.41,13.55,12.65,12.71,1384784.37
11,20200317,13.75,13.97,13.13,13.41,1177849.06
12,20200316,14.45,14.46,13.75,13.75,1406202.18
13,20200313,13.9,14.58,13.9,14.52,1169765.8
14,20200312,14.65,14.84,14.53,14.68,986497.11
15,20200311,14.77,14.88,14.62,14.69,814381.64
16,20200310,14.38,14.85,14.38,14.76,1167864.97
17,20200309,14.71,14.73,14.42,14.45,1665793.54
18,20200306,15.18,15.27,15.02,15.03,1228531.03
19,20200305,14.8,15.64,14.73,15.39,2686602.34
20,20200304,14.68,14.78,14.51,14.69,862595.23
21,20200303,14.96,14.99,14.63,14.72,1153584.32
22,20200302,14.55,14.95,14.46,14.79,1116580.66
23,20200228,14.85,15.04,14.46,14.5,1300644.45
24,20200227,14.96,15.15,14.89,15.11,975270.9
25,20200226,14.77,15.27,14.7,14.99,1176599.15
26,20200225,15.0,15.13,14.78,15.04,1144575.02
27,20200224,15.46,15.46,15.15,15.23,1191794.5
28,20200221,15.49,15.72,15.45,15.58,995071.02
29,20200220,15.27,15.62,15.1,15.59,1235444.34
30,20200219,15.1,15.37,15.08,15.24,874106.93
31,20200218,15.33,15.33,15.01,15.2,973612.35
32,20200217,15.04,15.37,14.93,15.37,1543696.01
33,20200214,14.75,15.14,14.7,15.03,1512434.73
34,20200213,14.71,14.88,14.61,14.65,1013205.28
35,20200212,14.79,14.82,14.6,14.77,1070503.21
36,20200211,14.6,14.94,14.56,14.79,1407507.44
37,20200210,14.51,14.53,14.3,14.5,1339495.24
38,20200207,14.6,14.69,14.41,14.62,924852.96
39,20200206,14.81,14.87,14.51,14.77,1185815.72
40,20200205,14.59,14.89,14.32,14.63,1491380.21
41,20200204,14.05,14.66,14.02,14.6,1706172.07
42,20200203,13.99,14.7,13.99,13.99,2259194.83
43,20200123,15.92,15.92,15.39,15.54,1100592.07
44,20200122,15.92,16.16,15.71,16.09,719464.91
45,20200121,16.34,16.34,15.93,16.0,896603.1
46,20200120,16.43,16.61,16.35,16.45,746074.75
47,20200117,16.38,16.55,16.35,16.39,605436.69
48,20200116,16.52,16.57,16.2,16.33,1028104.67
49,20200115,16.79,16.86,16.45,16.52,859439.12
50,20200114,16.99,17.27,16.76,16.76,1304493.66
51,20200113,16.75,17.03,16.61,16.99,872133.36
52,20200110,16.79,16.81,16.52,16.69,585548.45
53,20200109,16.81,16.93,16.53,16.79,1031636.65
54,20200108,17.0,17.05,16.63,16.66,847824.12
55,20200107,17.13,17.28,16.95,17.15,728607.56
56,20200106,17.01,17.34,16.91,17.07,862083.5
57,20200103,16.94,17.31,16.92,17.18,1116194.81
58,20200102,16.65,16.95,16.55,16.87,1530231.87
59,20191231,16.57,16.63,16.31,16.45,704442.25
60,20191230,16.46,16.63,16.1,16.57,976970.31
61,20191227,16.53,16.93,16.43,16.63,1042574.72
62,20191226,16.34,16.48,16.32,16.47,372033.86
63,20191225,16.45,16.56,16.24,16.3,414917.98
64,20191224,16.23,16.5,16.23,16.4,459128.42
65,20191223,16.68,16.68,16.17,16.24,715792.72
66,20191220,16.55,16.68,16.44,16.59,644478.38
67,20191219,16.55,16.74,16.44,16.55,675536.76
68,20191218,16.43,16.66,16.41,16.46,797091.33
69,20191217,16.0,16.63,15.98,16.5,1203104.9
70,20191216,16.12,16.14,15.87,16.13,787952.34
71,20191213,15.85,16.12,15.77,16.12,1053103.81
72,20191212,15.66,15.67,15.53,15.6,478998.82
73,20191211,15.38,15.68,15.3,15.66,871505.19
74,20191210,15.36,15.38,15.25,15.33,556383.88
75,20191209,15.62,15.62,15.35,15.41,605992.89
76,20191206,15.47,15.72,15.46,15.6,712615.24
77,20191205,15.35,15.48,15.3,15.43,557084.46
78,20191204,15.34,15.41,15.21,15.31,524545.27
79,20191203,15.3,15.46,15.21,15.45,455418.05
80,20191202,15.35,15.43,15.23,15.36,553877.38
81,20191129,15.54,15.55,15.18,15.29,653866.91
82,20191128,15.47,15.54,15.44,15.49,378016.51
83,20191127,15.64,15.64,15.39,15.47,476169.98
84,20191126,15.89,15.89,15.49,15.62,815297.53
85,20191125,15.64,15.84,15.54,15.8,783257.94
86,20191122,15.89,15.92,15.55,15.59,773473.54
87,20191121,15.75,15.87,15.63,15.86,772563.24
88,20191120,16.3,16.3,15.77,15.85,1724383.53
89,20191119,16.45,16.48,16.31,16.41,562120.4
90,20191118,16.35,16.55,16.23,16.45,557918.41
91,20191115,16.39,16.55,16.24,16.34,569227.98
92,20191114,16.43,16.48,16.25,16.32,468899.55
93,20191113,16.29,16.46,16.06,16.33,655120.65
94,20191112,16.29,16.37,16.16,16.33,516266.4
95,20191111,16.5,16.53,16.2,16.28,953515.63
96,20191108,16.98,17.02,16.64,16.65,849139.24
97,20191107,16.93,17.07,16.75,16.89,711896.99
98,20191106,17.06,17.26,16.88,16.96,863325.36
99,20191105,16.8,17.44,16.79,17.15,1172485.89
100,20191104,16.98,17.25,16.77,16.92,889824.25
101,20191101,16.35,17.0,16.28,16.86,1254655.44
102,20191031,16.42,16.47,16.24,16.26,862569.3
