income,house,points,default,numbers,credit
5472,3,10,0,7,3
7452,3,10,0,8,3
5312,3,10,0,7,3
6568,3,10,0,8,3
6340,3,20,0,9,3
4660,2,20,2,6,1
3128,1,20,2,6,1
4496,3,20,2,6,2
3132,1,20,2,6,1
5488,4,20,0,7,3
4940,3,40,2,6,2
2398,1,40,2,6,1
4408,2,40,2,6,2
4800,3,70,2,6,2
6304,2,80,2,7,2
6304,2,30,2,7,2
5402,3,30,2,6,2
4000,3,30,2,6,2
2572,2,40,2,5,1
2688,2,40,2,6,1
2464,2,50,2,6,1
3320,2,50,2,7,2
5224,2,140,2,6,2
2288,1,180,4,6,1
2272,2,180,2,5,2
3736,1,170,4,5,1
3560,1,170,4,6,1
3400,2,170,2,6,2
3112,2,170,4,6,1
3284,2,170,2,8,2
2886,2,160,2,5,2
2878,1,40,4,6,1
2964,1,40,4,5,1
2580,2,90,4,6,1
2548,1,80,4,6,1
2952,1,90,4,6,1
3676,2,60,2,7,2
3072,2,60,4,6,1
4916,2,60,2,5,2
1500,1,60,4,4,1
4212,2,50,2,5,2
2000,1,60,4,4,1
2820,2,50,4,6,1
4692,2,70,4,5,1
2430,1,70,4,6,1
4256,2,70,2,6,2
4580,2,120,2,7,2
4928,3,170,0,7,3
4480,3,140,2,7,2
4928,3,160,0,7,3
4480,2,160,2,7,2
4928,3,180,0,10,3
5152,2,60,4,4,1
2754,2,60,4,6,1
4142,2,70,4,6,1
4704,3,80,2,7,2
3500,2,80,2,7,2
3738,2,70,4,6,1
2980,1,70,4,6,1
3734,1,70,2,5,1
2522,2,70,2,3,1
2076,1,70,2,5,1
3600,2,100,2,7,2
3944,2,110,2,6,2
4178,2,120,2,6,2
2928,2,120,3,6,1
4224,2,170,3,6,1
3928,2,190,2,6,2
2332,3,190,2,5,2
7722,3,210,0,6,3
4504,3,210,2,7,2
5196,3,220,0,9,3
4552,2,210,2,4,2
3750,2,210,3,6,1
3140,2,220,2,6,2
4064,2,240,2,6,2
2636,2,230,2,6,2
2156,2,240,3,5,1
6920,4,260,1,7,3
3184,2,260,2,5,2
1830,1,260,3,2,1
1850,1,260,2,5,1
2842,2,260,2,6,2
1980,1,250,3,5,1
7584,4,250,0,9,3
4164,3,320,2,7,2
3924,3,300,0,7,3
4572,2,300,2,7,2
4928,3,300,0,7,3
3724,3,300,0,9,3
5476,3,300,0,8,3
4480,3,340,0,7,3
5560,3,340,0,10,3
5562,3,310,1,9,3
3074,2,310,2,6,2
5592,3,310,1,9,3
5588,3,260,1,9,3
5744,3,260,0,9,3
2714,2,260,2,6,2
6512,4,250,0,7,3
4076,2,270,2,7,2
3848,3,270,2,7,2
4740,3,280,2,7,2
4072,3,250,0,7,3
3636,2,290,2,7,2
3972,3,280,2,7,2
3710,3,320,0,6,3
3672,3,290,0,6,3
3672,2,280,2,7,2
3640,3,310,0,7,3
3456,3,300,0,10,3
4184,2,240,2,6,2
4072,3,240,0,7,3
4800,2,240,2,7,2
4208,2,240,2,7,2
3856,2,240,2,7,2
4134,2,240,2,7,2
2720,2,230,2,7,2
3880,2,210,2,7,2
5632,3,210,2,7,2
2470,2,190,2,6,2
2776,2,210,2,7,2
2140,2,210,2,7,2
2780,2,200,2,7,2
5148,3,240,0,9,3
2464,2,230,2,6,2
5300,3,230,0,10,3
3956,2,200,2,6,2
2496,2,200,2,6,2
3432,2,200,2,7,2
2288,2,200,2,6,2
4900,2,260,2,7,2
5904,2,180,2,7,2
5600,3,280,0,7,3
4216,3,280,0,7,3
4416,2,280,2,7,2
3120,3,330,0,7,3
4496,3,340,1,7,3
4568,3,130,0,7,3
5264,2,150,1,7,2
5264,2,120,1,7,2
3872,2,120,1,6,2
4008,2,60,1,8,2
3840,2,60,1,7,2
4272,3,50,1,7,2
4944,2,70,1,7,2
3584,2,100,1,7,2
4272,3,260,0,7,3
4032,3,260,1,7,2
5028,2,150,1,6,2
4864,1,130,1,7,2
5756,3,130,0,7,3
1920,1,140,3,5,1
3736,2,130,1,7,2
2592,2,130,3,6,1
3336,2,130,2,6,1
4104,1,140,1,7,2
2200,1,140,3,6,1
2640,1,140,3,5,1
6060,3,130,1,10,3
3848,2,130,1,6,2
7540,3,130,1,7,3
5712,2,130,1,7,2
1860,1,10,3,5,1
2798,2,20,3,6,1
2684,2,20,2,5,1
3000,2,20,3,6,1
2666,1,20,3,3,1
3688,2,20,3,6,1
3528,2,40,1,6,2
5454,3,90,1,7,2
4160,2,100,1,7,2
4060,1,150,3,6,1
6060,2,70,1,7,2
